"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18149","Basic Smoke Test - Title Check","chrome-latest:Windows 10-browserstack","Thu Mar 20 19:13:37 GMT 2025","failed","Thu Mar 20 19:13:55 GMT 2025","","tests/smoke.spec.ts","",""
"","6606","Basic Smoke Test - Title Check","playwright-webkit-latest:OSX Ventura-browserstack","Thu Mar 20 19:13:36 GMT 2025","passed","Thu Mar 20 19:13:43 GMT 2025","","tests/smoke.spec.ts","",""
"","11945","Basic Smoke Test - Title Check","chrome-Samsung Galaxy S23 Ultra:13-browserstack-mobile","Thu Mar 20 19:13:37 GMT 2025","passed","Thu Mar 20 19:13:49 GMT 2025","","tests/smoke.spec.ts","",""
