"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6127","Basic Smoke Test - Title Check","playwright-webkit-latest:OSX Ventura-browserstack","Thu Mar 20 22:21:08 GMT 2025","passed","Thu Mar 20 22:21:14 GMT 2025","","tests/smoke.spec.ts","",""
"","6851","Basic Smoke Test - Title Check","chrome-Samsung Galaxy S23 Ultra:13-browserstack-mobile","Thu Mar 20 22:21:08 GMT 2025","passed","Thu Mar 20 22:21:15 GMT 2025","","tests/smoke.spec.ts","",""
"","17886","Basic Smoke Test - Title Check","chrome-latest:Windows 10-browserstack","Thu Mar 20 22:21:09 GMT 2025","failed","Thu Mar 20 22:21:26 GMT 2025","","tests/smoke.spec.ts","",""
