"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7243","Basic Smoke Test - Title Check","playwright-webkit-latest:OSX Ventura-browserstack","Thu Mar 20 23:01:26 GMT 2025","passed","Thu Mar 20 23:01:33 GMT 2025","","tests/smoke.spec.ts","",""
"","5141","Basic Smoke Test - Title Check","chrome-Samsung Galaxy S23 Ultra:13-browserstack-mobile","Thu Mar 20 23:01:26 GMT 2025","passed","Thu Mar 20 23:01:31 GMT 2025","","tests/smoke.spec.ts","",""
"","17942","Basic Smoke Test - Title Check","chrome-latest:Windows 10-browserstack","Thu Mar 20 23:01:26 GMT 2025","failed","Thu Mar 20 23:01:44 GMT 2025","","tests/smoke.spec.ts","",""
