"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5293","Basic Smoke Test - Title Check","chrome-Samsung Galaxy S23 Ultra:13-browserstack-mobile","Thu Mar 20 22:05:47 GMT 2025","passed","Thu Mar 20 22:05:52 GMT 2025","","tests/smoke.spec.ts","",""
"","17213","Basic Smoke Test - Title Check","chrome-latest:Windows 10-browserstack","Thu Mar 20 22:05:47 GMT 2025","failed","Thu Mar 20 22:06:04 GMT 2025","","tests/smoke.spec.ts","",""
"","5906","Basic Smoke Test - Title Check","playwright-webkit-latest:OSX Ventura-browserstack","Thu Mar 20 22:05:47 GMT 2025","passed","Thu Mar 20 22:05:53 GMT 2025","","tests/smoke.spec.ts","",""
