"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5401","Basic Smoke Test - Title Check","playwright-webkit-latest:OSX Ventura-browserstack","Thu Mar 20 01:21:34 GMT 2025","passed","Thu Mar 20 01:21:39 GMT 2025","","tests/smoke.spec.ts","",""
"","5890","Basic Smoke Test - Title Check","chrome-Samsung Galaxy S23 Ultra:13-browserstack-mobile","Thu Mar 20 01:21:33 GMT 2025","passed","Thu Mar 20 01:21:39 GMT 2025","","tests/smoke.spec.ts","",""
"","20116","Basic Smoke Test - Title Check","chrome-latest:Windows 10-browserstack","Thu Mar 20 01:21:33 GMT 2025","failed","Thu Mar 20 01:21:53 GMT 2025","","tests/smoke.spec.ts","",""
